geo_state,geo_county,rucc_code
al,autauga_county,2
al,baldwin_county,3
al,barbour_county,6
al,bibb_county,1
al,blount_county,1
al,bullock_county,6
al,butler_county,6
al,calhoun_county,3
al,chambers_county,6
al,cherokee_county,6
al,chilton_county,1
al,choctaw_county,9
al,clarke_county,7
al,clay_county,9
al,cleburne_county,8
al,coffee_county,4
al,colbert_county,3
al,conecuh_county,7
al,coosa_county,8
al,covington_county,6
al,crenshaw_county,8
al,cullman_county,4
al,dale_county,4
al,dallas_county,4
al,dekalb_county,6
al,elmore_county,2
al,escambia_county,6
al,etowah_county,3
al,fayette_county,6
al,franklin_county,6
al,geneva_county,3
al,greene_county,8
al,hale_county,3
al,henry_county,3
al,houston_county,3
al,jackson_county,6
al,jefferson_county,1
al,lamar_county,8
al,lauderdale_county,3
al,lawrence_county,3
al,lee_county,3
al,limestone_county,2
al,lowndes_county,2
al,macon_county,6
al,madison_county,2
al,marengo_county,7
al,marion_county,7
al,marshall_county,4
al,mobile_county,2
al,monroe_county,7
al,montgomery_county,2
al,morgan_county,3
al,perry_county,8
al,pickens_county,3
al,pike_county,6
al,randolph_county,6
al,russell_county,2
al,st_clair_county,1
al,shelby_county,1
al,sumter_county,8
al,talladega_county,4
al,tallapoosa_county,6
al,tuscaloosa_county,3
al,walker_county,1
al,washington_county,8
al,wilcox_county,9
al,winston_county,6
ak,aleutians_east_borough,9
ak,aleutians_west_census_area,9
ak,anchorage_municipality,2
ak,bethel_census_area,7
ak,bristol_bay_borough,9
ak,denali_borough,8
ak,dillingham_census_area,9
ak,fairbanks_north_star_borough,3
ak,haines_borough,9
ak,hoonah_angoon_census_area_ak,9
ak,juneau_city_and_borough,5
ak,kenai_peninsula_borough,7
ak,ketchikan_gateway_borough,7
ak,kodiak_island_borough,7
ak,lake_and_peninsula_borough,9
ak,matanuska_susitna_borough,2
ak,nome_census_area,7
ak,north_slope_borough,7
ak,northwest_arctic_borough,7
ak,petersburg_census_area,9
ak,price_of_wales_hyder_census_area,9
ak,sitka_city_and_borough,7
ak,skagway_municipality,9
ak,southeast_fairbanks_census_area,9
ak,valdez_cordova_census_area,9
ak,wade_hampton_census_area,9
ak,wrangell_city_and_borough,9
ak,yakutat_city_and_borough,9
ak,yukon_koyukuk_census_area,9
az,apache_county,6
az,cochise_county,3
az,coconino_county,3
az,gila_county,4
az,graham_county,7
az,greenlee_county,7
az,la_paz_county,6
az,maricopa_county,1
az,mohave_county,3
az,navajo_county,4
az,pima_county,2
az,pinal_county,1
az,santa_cruz_county,4
az,yavapai_county,3
az,yuma_county,3
ar,arkansas_county,6
ar,ashley_county,7
ar,baxter_county,7
ar,benton_county,2
ar,boone_county,7
ar,bradley_county,7
ar,calhoun_county,9
ar,carroll_county,6
ar,chicot_county,7
