fips_code,geo_state,geo_county,pop,urbanicity_code
1001,al,autauga_county,55514,"Medium metro"
1003,al,baldwin_county,190790,"Small metro"
1005,al,barbour_county,27201,"Non-core"
1007,al,bibb_county,22597,"Large fringe metro"
1009,al,blount_county,57826,"Large fringe metro"
1011,al,bullock_county,10474,"Non-core"
1013,al,butler_county,20307,"Non-core"
1015,al,calhoun_county,117296,"Small metro"
1017,al,chambers_county,34064,"Micropolitan"
1019,al,cherokee_county,26021,"Non-core"
1021,al,chilton_county,43819,"Large fringe metro"
1023,al,choctaw_county,13633,"Non-core"
1025,al,clarke_county,25161,"Non-core"
1027,al,clay_county,13435,"Non-core"
1029,al,cleburne_county,14832,"Non-core"
1031,al,coffee_county,51252,"Micropolitan"
1033,al,colbert_county,54446,"Small metro"
1035,al,conecuh_county,12981,"Non-core"
1037,al,coosa_county,10966,"Micropolitan"
1039,al,covington_county,37955,"Non-core"
1041,al,crenshaw_county,14083,"Non-core"
1043,al,cullman_county,80440,"Micropolitan"
1045,al,dale_county,50444,"Micropolitan"
1047,al,dallas_county,42864,"Micropolitan"
1049,al,dekalb_county,71080,"Non-core"
1051,al,elmore_county,80629,"Medium metro"
1053,al,escambia_county,37994,"Non-core"
1055,al,etowah_county,104392,"Small metro"
1057,al,fayette_county,16983,"Non-core"
1059,al,franklin_county,31761,"Non-core"
1061,al,geneva_county,26931,"Small metro"
1063,al,greene_county,8876,"Non-core"
1065,al,hale_county,15388,"Small metro"
1067,al,henry_county,17287,"Small metro"
1069,al,houston_county,103402,"Small metro"
1071,al,jackson_county,53019,"Micropolitan"
1073,al,jefferson_county,660009,"Large central metro"
1075,al,lamar_county,14259,"Non-core"
1077,al,lauderdale_county,92542,"Small metro"
1079,al,lawrence_county,33838,"Small metro"
1081,al,lee_county,147257,"Small metro"
1083,al,limestone_county,87654,"Medium metro"
1085,al,lowndes_county,10857,"Medium metro"
1087,al,macon_county,20535,"Non-core"
1089,al,madison_county,343080,"Medium metro"
1091,al,marengo_county,20401,"Non-core"
1093,al,marion_county,30327,"Non-core"
1095,al,marshall_county,94776,"Micropolitan"
1097,al,mobile_county,413936,"Medium metro"
1099,al,monroe_county,22602,"Non-core"
1101,al,montgomery_county,230149,"Medium metro"
1103,al,morgan_county,120395,"Small metro"
1105,al,perry_county,10181,"Non-core"
1107,al,pickens_county,19405,"Small metro"
1109,al,pike_county,33182,"Micropolitan"
1111,al,randolph_county,22675,"Non-core"
1113,al,russell_county,57820,"Medium metro"
1115,al,st_clair_county,85237,"Large fringe metro"
1117,al,shelby_county,200941,"Large fringe metro"
1119,al,sumter_county,13427,"Non-core"
1121,al,talladega_county,81762,"Micropolitan"
1123,al,tallapoosa_county,41168,"Non-core"
1125,al,tuscaloosa_county,198596,"Small metro"
1127,al,walker_county,66221,"Large fringe metro"
1129,al,washington_county,17109,"Non-core"
1131,al,wilcox_county,11431,"Non-core"
1133,al,winston_county,24108,"Non-core"
2013,ak,aleutians_east_borough,3161,"Non-core"
2016,ak,aleutians_west_census_area,5547,"Non-core"
2020,ak,anchorage_municipality,298610,"Medium metro"
2050,ak,bethel_census_area,17746,"Non-core"
2060,ak,bristol_bay_borough,991,"Non-core"
2068,ak,denali_borough,1875,"Non-core"
2070,ak,dillingham_census_area,5034,"Non-core"
2090,ak,fairbanks_north_star_borough,100272,"Small metro"
2100,ak,haines_borough,2552,"Non-core"
2105,ak,hoonah-angoon_census_area,2129,"Non-core"
2110,ak,juneau_city_and_borough,32556,"Micropolitan"
2122,ak,kenai_peninsula_borough,56900,"Non-core"
2130,ak,ketchikan_gateway_borough,13779,"Micropolitan"
2150,ak,kodiak_island_borough,14239,"Non-core"
2158,ak,kusilvak_census_area,7809,"Non-core"
2164,ak,lake_and_peninsula_borough,1654,"Non-core"
2170,ak,matanuska-susitna_borough,93925,"Medium metro"
2180,ak,nome_census_area,9915,"Non-core"
2185,ak,north_slope_borough,9643,"Non-core"
2188,ak,northwest_arctic_borough,7810,"Non-core"
2195,ak,petersburg_census_area,3844,"Non-core"
2198,ak,prince_of_wales-hyder_census_area,5751,"Non-core"
2201,ak,prince_of_wales-outer_ket,NA,"Non-core"
2220,ak,sitka_city_and_borough,9046,"Non-core"
2230,ak,skagway_municipality,959,"Non-core"
2232,ak,skagway-hoonah-angoon_census_area,NA,"Non-core"
2240,ak,southeast_fairbanks_census_area,7144,"Non-core"
2261,ak,valdez-cordova_census_area,9717,"Non-core"
2270,ak,wade_hampton_census_area,7809,"Non-core"
2275,ak,wrangell_city_and_borough,2403,"Non-core"
2280,ak,wrangell-petersburg_census_area,NA,"Non-core"
2282,ak,yakutat_city_and_borough,668,"Non-core"
2290,ak,yukon-koyukuk_census_area,5770,"Non-core"
4001,az,apache_county,73195,"Non-core"
4003,az,cochise_county,132088,"Small metro"
4005,az,coconino_county,136011,"Small metro"
4007,az,gila_county,53144,"Micropolitan"
4009,az,graham_county,37416,"Micropolitan"
4011,az,greenlee_county,8802,"Non-core"
4012,az,la_paz_county,20281,"Non-core"
4013,az,maricopa_county,3942169,"Large central metro"
4015,az,mohave_county,203334,"Small metro"
4017,az,navajo_county,107094,"Micropolitan"
4019,az,pima_county,992394,"Medium metro"
4021,az,pinal_county,387365,"Large fringe metro"
4023,az,santa_cruz_county,47303,"Micropolitan"
4025,az,yavapai_county,212637,"Small metro"
4027,az,yuma_county,200022,"Small metro"
5001,ar,arkansas_county,18892,"Non-core"
5003,ar,ashley_county,21524,"Non-core"
5005,ar,baxter_county,41048,"Micropolitan"
5007,ar,benton_county,232268,"Medium metro"
5009,ar,boone_county,37327,"Micropolitan"
5011,ar,bradley_county,11397,"Non-core"
5013,ar,calhoun_county,5307,"Micropolitan"
5015,ar,carroll_county,27610,"Non-core"
5017,ar,chicot_county,11433,"Non-core"
5019,ar,clark_county,22936,"Micropolitan"
5021,ar,clay_county,15684,"Non-core"
5023,ar,cleburne_county,25808,"Non-core"
5025,ar,cleveland_county,8627,"Small metro"
5027,ar,columbia_county,24473,"Micropolitan"
5029,ar,conway_county,21287,"Non-core"
5031,ar,craighead_county,99735,"Small metro"
5033,ar,crawford_county,61946,"Medium metro"
5035,ar,crittenden_county,50021,"Large fringe metro"
5037,ar,cross_county,17683,"Non-core"
5039,ar,dallas_county,7987,"Non-core"
5041,ar,desha_county,12545,"Non-core"
5043,ar,drew_county,18743,"Non-core"
5045,ar,faulkner_county,118704,"Medium metro"
5047,ar,franklin_county,18045,"Non-core"
5049,ar,fulton_county,12318,"Non-core"
5051,ar,garland_county,96903,"Small metro"
5053,ar,grant_county,17986,"Medium metro"
5055,ar,greene_county,43163,"Micropolitan"
5057,ar,hempstead_county,22373,"Non-core"
5059,ar,hot_spring_county,33394,"Micropolitan"
5061,ar,howard_county,13735,"Non-core"
5063,ar,independence_county,37025,"Micropolitan"
5065,ar,izard_county,13474,"Non-core"
5067,ar,jackson_county,17600,"Non-core"
5069,ar,jefferson_county,74723,"Small metro"
5071,ar,johnson_county,25901,"Non-core"
5073,ar,lafayette_county,7447,"Non-core"
5075,ar,lawrence_county,17012,"Non-core"
5077,ar,lee_county,10216,"Non-core"
5079,ar,lincoln_county,14101,"Small metro"
5081,ar,little_river_county,12919,"Small metro"
5083,ar,logan_county,21983,"Non-core"
5085,ar,lonoke_county,69839,"Medium metro"
5087,ar,madison_county,15645,"Medium metro"
5089,ar,marion_county,16568,"Non-core"
5091,ar,miller_county,43634,"Small metro"
5093,ar,mississippi_county,45562,"Micropolitan"
5095,ar,monroe_county,7828,"Non-core"
5097,ar,montgomery_county,9340,"Non-core"
5099,ar,nevada_county,8925,"Non-core"
5101,ar,newton_county,8086,"Micropolitan"
5103,ar,ouachita_county,25396,"Micropolitan"
5105,ar,perry_county,10339,"Medium metro"
5107,ar,phillips_county,20784,"Micropolitan"
5109,ar,pike_county,11247,"Non-core"
5111,ar,poinsett_county,24307,"Small metro"
5113,ar,polk_county,20471,"Non-core"
5115,ar,pope_county,62765,"Micropolitan"
5117,ar,prairie_county,8458,"Non-core"
5119,ar,pulaski_county,388953,"Medium metro"
5121,ar,randolph_county,17930,"Non-core"
5123,ar,st_francis_county,27858,"Micropolitan"
5125,ar,saline_county,111845,"Medium metro"
5127,ar,scott_county,11010,"Non-core"
5129,ar,searcy_county,8007,"Non-core"
5131,ar,sebastian_county,127304,"Medium metro"
5133,ar,sevier_county,17177,"Non-core"
5135,ar,sharp_county,17054,"Non-core"
5137,ar,stone_county,12663,"Non-core"
5139,ar,union_county,40867,"Micropolitan"
5141,ar,van_buren_county,17030,"Non-core"
5143,ar,washington_county,211411,"Medium metro"
5145,ar,white_county,78493,"Micropolitan"
5147,ar,woodruff_county,7100,"Non-core"
5149,ar,yell_county,21932,"Micropolitan"
6001,ca,alameda_county,1554720,"Large central metro"
6003,ca,alpine_county,1129,"Non-core"
6005,ca,amador_county,37035,"Non-core"
6007,ca,butte_county,221539,"Small metro"
6009,ca,calaveras_county,44742,"Non-core"
6011,ca,colusa_county,21411,"Non-core"
6013,ca,contra_costa_county,1079597,"Large fringe metro"
6015,ca,del_norte_county,28290,"Micropolitan"
6017,ca,el_dorado_county,180561,"Large fringe metro"
6019,ca,fresno_county,947895,"Medium metro"
6021,ca,glenn_county,27992,"Non-core"
6023,ca,humboldt_county,134827,"Micropolitan"
6025,ca,imperial_county,176948,"Small metro"
6027,ca,inyo_county,18495,"Non-core"
6029,ca,kern_county,856158,"Medium metro"
6031,ca,kings_county,151364,"Small metro"
6033,ca,lake_county,63983,"Micropolitan"
6035,ca,lassen_county,33658,"Micropolitan"
6037,ca,los_angeles_county,9962789,"Large central metro"
6039,ca,madera_county,152218,"Small metro"
6041,ca,marin_county,256069,"Large fringe metro"
6043,ca,mariposa_county,17905,"Non-core"
6045,ca,mendocino_county,87428,"Micropolitan"
6047,ca,merced_county,262305,"Medium metro"
6049,ca,modoc_county,9327,"Non-core"
6051,ca,mono_county,14348,"Non-core"
6053,ca,monterey_county,426762,"Medium metro"
6055,ca,napa_county,139045,"Small metro"
6057,ca,nevada_county,98292,"Micropolitan"
6059,ca,orange_county,3090132,"Large central metro"
6061,ca,placer_county,361682,"Large fringe metro"
6063,ca,plumas_county,19399,"Non-core"
6065,ca,riverside_county,2268783,"Large central metro"
6067,ca,sacramento_county,1450121,"Large central metro"
6069,ca,san_benito_county,56884,"Large fringe metro"
6071,ca,san_bernardino_county,2081313,"Large fringe metro"
6073,ca,san_diego_county,3177063,"Large central metro"
6075,ca,san_francisco_county,825863,"Large central metro"
6077,ca,san_joaquin_county,702612,"Medium metro"
6079,ca,san_luis_obispo_county,274804,"Medium metro"
6081,ca,san_mateo_county,739311,"Large fringe metro"
6083,ca,santa_barbara_county,431249,"Medium metro"
6085,ca,santa_clara_county,1837504,"Large central metro"
6087,ca,santa_cruz_county,266776,"Medium metro"
6089,ca,shasta_county,178586,"Small metro"
6091,ca,sierra_county,3086,"Non-core"
6093,ca,siskiyou_county,44154,"Non-core"
6095,ca,solano_county,420757,"Medium metro"
6097,ca,sonoma_county,491829,"Medium metro"
6099,ca,stanislaus_county,521726,"Medium metro"
6101,ca,sutter_county,95022,"Small metro"
6103,ca,tehama_county,63406,"Micropolitan"
6105,ca,trinity_county,13526,"Non-core"
6107,ca,tulare_county,451977,"Medium metro"
6109,ca,tuolumne_county,54008,"Micropolitan"
6111,ca,ventura_county,835981,"Medium metro"
6113,ca,yolo_county,204118,"Large fringe metro"
6115,ca,yuba_county,72926,"Small metro"
8001,co,adams_county,459598,"Large fringe metro"
8003,co,alamosa_county,16148,"Non-core"
8005,co,arapahoe_county,595546,"Large fringe metro"
8007,co,archuleta_county,12070,"Non-core"
8009,co,baca_county,3751,"Non-core"
8011,co,bent_county,5773,"Non-core"
8013,co,boulder_county,305318,"Medium metro"
8014,co,broomfield_county,58298,"Large fringe metro"
8015,co,chaffee_county,18150,"Non-core"
8017,co,cheyenne_county,1874,"Non-core"
8019,co,clear_creek_county,9026,"Large fringe metro"
8021,co,conejos_county,8275,"Non-core"
8023,co,costilla_county,3594,"Non-core"
8025,co,crowley_county,5365,"Non-core"
8027,co,custer_county,4249,"Non-core"
8029,co,delta_county,30432,"Non-core"
8031,co,denver_county,634265,"Large central metro"
8033,co,dolores_county,1994,"Non-core"
8035,co,douglas_county,298215,"Large fringe metro"
8037,co,eagle_county,51874,"Micropolitan"
8039,co,elbert_county,23383,"Large fringe metro"
8041,co,el_paso_county,644964,"Medium metro"
8043,co,fremont_county,46788,"Micropolitan"
8045,co,garfield_county,56953,"Micropolitan"
8047,co,gilpin_county,5491,"Large fringe metro"
8049,co,grand_county,14195,"Non-core"
8051,co,gunnison_county,15475,"Non-core"
8053,co,hinsdale_county,810,"Non-core"
8055,co,huerfano_county,6596,"Non-core"
8057,co,jackson_county,1348,"Non-core"
8059,co,jefferson_county,545358,"Large fringe metro"
8061,co,kiowa_county,1444,"Non-core"
8063,co,kit_carson_county,8094,"Non-core"
8065,co,lake_county,7338,"Non-core"
8067,co,la_plata_county,52401,"Micropolitan"
8069,co,larimer_county,310487,"Medium metro"
8071,co,las_animas_county,14945,"Non-core"
8073,co,lincoln_county,5453,"Non-core"
8075,co,logan_county,22631,"Micropolitan"
8077,co,mesa_county,147848,"Small metro"
8079,co,mineral_county,709,"Non-core"
8081,co,moffat_county,13200,"Micropolitan"
8083,co,montezuma_county,25431,"Non-core"
8085,co,montrose_county,40725,"Micropolitan"
8087,co,morgan_county,28472,"Micropolitan"
8089,co,otero_county,18698,"Non-core"
8091,co,ouray_county,4530,"Non-core"
8093,co,park_county,16029,"Large fringe metro"
8095,co,phillips_county,4367,"Non-core"
8097,co,pitkin_county,17263,"Micropolitan"
8099,co,prowers_county,12389,"Non-core"
8101,co,pueblo_county,160852,"Small metro"
8103,co,rio_blanco_county,6857,"Non-core"
8105,co,rio_grande_county,11943,"Non-core"
8107,co,routt_county,23334,"Micropolitan"
8109,co,saguache_county,6304,"Non-core"
8111,co,san_juan_county,690,"Non-core"
8113,co,san_miguel_county,7580,"Non-core"
8115,co,sedgwick_county,2383,"Non-core"
8117,co,summit_county,28044,"Micropolitan"
8119,co,teller_county,23389,"Medium metro"
8121,co,washington_county,4766,"Non-core"
8123,co,weld_county,263691,"Medium metro"
8125,co,yuma_county,10119,"Non-core"
9001,ct,fairfield_county,933835,"Medium metro"
9003,ct,hartford_county,897259,"Large central metro"
9005,ct,litchfield_county,187530,"Micropolitan"
9007,ct,middlesex_county,165602,"Large fringe metro"
9009,ct,new_haven_county,862813,"Medium metro"
9011,ct,new_london_county,274170,"Medium metro"
9013,ct,tolland_county,151539,"Large fringe metro"
9015,ct,windham_county,117599,"Medium metro"
10001,de,kent_county,167626,"Small metro"
10003,de,new_castle_county,546076,"Large fringe metro"
10005,de,sussex_county,203390,"Medium metro"
11001,dc,district_of_columbia,632323,"Large central metro"
12001,fl,alachua_county,251417,"Medium metro"
12003,fl,baker_county,27086,"Large fringe metro"
12005,fl,bay_county,171903,"Small metro"
12007,fl,bradford_county,27049,"Non-core"
12009,fl,brevard_county,547307,"Medium metro"
12011,fl,broward_county,1815137,"Large fringe metro"
12013,fl,calhoun_county,14723,"Non-core"
12015,fl,charlotte_county,162449,"Small metro"
12017,fl,citrus_county,139360,"Small metro"
12019,fl,clay_county,194345,"Large fringe metro"
12021,fl,collier_county,332427,"Medium metro"
12023,fl,columbia_county,67966,"Micropolitan"
12027,fl,desoto_county,34712,"Micropolitan"
12029,fl,dixie_county,16126,"Non-core"
