zip,state_abbrev,county_code
00501,ny,103
00601,pr,113
00601,pr,001
00602,pr,003
00602,pr,005
00603,pr,005
00603,pr,099
00603,pr,071
00604,pr,005
00605,pr,005
00606,pr,093
00610,pr,011
00611,pr,141
00612,pr,017
00612,pr,054
00612,pr,013
00612,pr,141
00612,pr,065
00613,pr,013
00614,pr,013
00616,pr,013
00617,pr,017
00617,pr,054
00617,pr,091
00622,pr,023
00623,pr,023
00623,pr,097
00624,pr,059
00624,pr,113
00624,pr,111
00627,pr,027
00631,pr,081
00637,pr,121
00638,pr,107
00638,pr,039
00641,pr,141
00641,pr,113
00646,pr,137
00646,pr,135
00646,pr,143
00646,pr,051
00647,pr,055
00647,pr,121
00650,pr,054
00650,pr,013
00650,pr,017
00650,pr,091
00652,pr,013
00653,pr,055
00653,pr,153
00656,pr,059
00659,pr,013
00659,pr,065
00660,pr,097
00660,pr,067
00662,pr,115
00662,pr,005
00662,pr,071
00662,pr,099
00664,pr,141
00664,pr,073
00667,pr,079
00667,pr,121
00669,pr,081
00670,pr,083
00674,pr,091
00674,pr,145
00674,pr,017
00674,pr,101
00676,pr,131
00676,pr,099
00677,pr,117
00678,pr,115
00680,pr,011
00680,pr,097
00680,pr,023
00680,pr,067
00681,pr,097
00682,pr,097
00683,pr,097
00683,pr,125
00683,pr,121
00683,pr,023
00683,pr,079
00685,pr,131
00687,pr,145
00687,pr,091
00687,pr,101
00687,pr,143
00688,pr,013
00690,pr,005
00692,pr,143
00692,pr,101
00692,pr,145
00692,pr,051
00693,pr,091
00693,pr,145
00693,pr,143
00693,pr,101
00694,pr,145
00698,pr,059
00698,pr,121
00698,pr,153
00703,pr,007
00703,pr,041
00703,pr,025
00704,pr,123
00705,pr,043
00705,pr,035
00705,pr,009
00707,pr,095
00714,pr,015
00715,pr,113
00716,pr,113
00717,pr,113
00718,pr,103
00719,pr,127
00719,pr,105
00719,pr,019
00720,pr,101
00720,pr,107
00720,pr,075
00721,pr,119
00723,pr,109
00723,pr,025
00725,pr,063
00725,pr,007
00725,pr,127
00725,pr,041
00725,pr,025
00725,pr,129
00726,pr,025
00727,pr,025
00728,pr,113
00729,pr,063
00729,pr,031
00729,pr,087
00729,pr,029
00730,pr,113
00731,pr,113
00732,pr,113
00733,pr,113
00735,pr,119
00735,pr,053
00735,pr,037
00736,pr,035
00736,pr,025
00737,pr,035
00738,pr,053
00738,pr,037
00738,pr,089
00739,pr,025
00739,pr,045
00739,pr,035
00739,pr,041
00740,pr,053
00741,pr,069
00742,pr,037
00744,pr,103
00745,pr,119
00745,pr,029
00751,pr,123
00751,pr,133
00754,pr,129
00754,pr,035
00757,pr,043
00757,pr,133
00765,pr,147
00766,pr,075
00766,pr,149
00767,pr,151
00767,pr,069
00769,pr,043
00771,pr,103
00771,pr,129
00771,pr,085
00771,pr,069
00772,pr,087
00773,pr,053
00773,pr,089
00775,pr,049
00777,pr,077
00777,pr,029
00777,pr,085
00777,pr,063
00778,pr,063
00778,pr,129
00778,pr,033
00778,pr,025
00778,pr,127
00778,pr,139
00780,pr,113
00782,pr,045
00782,pr,127
00783,pr,047
00783,pr,135
00784,pr,057
00784,pr,015
00785,pr,057
00786,pr,009
00791,pr,069
00791,pr,085
00792,pr,069
00794,pr,019
00794,pr,047
00795,pr,113
00795,pr,075
00802,vi,030
00820,vi,010
00830,vi,020
00840,vi,010
00850,vi,010
00901,pr,127
00902,pr,127
00907,pr,127
00908,pr,127
00909,pr,033
00909,pr,127
00910,pr,127
00911,pr,127
00912,pr,127
00913,pr,127
00914,pr,127
00915,pr,127
00916,pr,127
00917,pr,127
00917,pr,061
00918,pr,127
00919,pr,127
00920,pr,127
00920,pr,061
00921,pr,021
00921,pr,031
00921,pr,127
00922,pr,061
00923,pr,127
00924,pr,021
00924,pr,139
00924,pr,031
00924,pr,127
00925,pr,127
00926,pr,021
00926,pr,127
00926,pr,139
00926,pr,061
00926,pr,025
00926,pr,031
00926,pr,033
00927,pr,127
00928,pr,127
00929,pr,127
00931,pr,127
00934,pr,021
00934,pr,061
00935,pr,127
00936,pr,127
00937,pr,031
00940,pr,127
00949,pr,137
00949,pr,021
00949,pr,051
00949,pr,135
00950,pr,137
00951,pr,137
00952,pr,137
00953,pr,137
00953,pr,135
00953,pr,021
00954,pr,135
00956,pr,021
00956,pr,033
00956,pr,007
00956,pr,139
00956,pr,127
00956,pr,025
00957,pr,033
00957,pr,135
00957,pr,127
00957,pr,139
00957,pr,137
00957,pr,021
00958,pr,021
00959,pr,021
00959,pr,137
00959,pr,139
00959,pr,127
00959,pr,061
00960,pr,021
00961,pr,033
00961,pr,139
00961,pr,021
00961,pr,127
00961,pr,137
00961,pr,061
00962,pr,139
00962,pr,033
00962,pr,061
00962,pr,021
00962,pr,127
00963,pr,033
00965,pr,061
00965,pr,033
00966,pr,021
00966,pr,061
00968,pr,127
00968,pr,061
00969,pr,139
00969,pr,021
00969,pr,007
00969,pr,127
00969,pr,061
00970,pr,061
00971,pr,061
00975,pr,127
00976,pr,139
00976,pr,031
00976,pr,127
00976,pr,021
00976,pr,033
00977,pr,033
00979,pr,031
00981,pr,031
00982,pr,031
00983,pr,031
00984,pr,031
00985,pr,031
00986,pr,031
00987,pr,031
00987,pr,139
00987,pr,127
00987,pr,029
00988,pr,031
01001,ma,013
01002,ma,015
01002,ma,011
01003,ma,015
01004,ma,015
01005,ma,027
01007,ma,015
01008,ma,013
01008,ma,003
01009,ma,013
01010,ma,027
01010,ma,013
01011,ma,013
01011,ma,015
01012,ma,015
01013,ma,013
01014,ma,013
01020,ma,013
01021,ma,013
01022,ma,013
01026,ma,015
01026,ma,003
01027,ma,015
01028,ma,013
01029,ma,003
01030,ma,013
01031,ma,027
01032,ma,015
01032,ma,011
01033,ma,015
01033,ma,013
01034,ma,013
01035,ma,015
01036,ma,013
01037,ma,027
01038,ma,015
01039,ma,015
01039,ma,011
01040,ma,013
01041,ma,013
01050,ma,015
01050,ma,013
01053,ma,015
01054,ma,011
01056,ma,013
01057,ma,013
01059,ma,015
01060,ma,015
01061,ma,015
01062,ma,015
01063,ma,015
01066,ma,015
01068,ma,027
01069,ma,015
01069,ma,013
01070,ma,003
01070,ma,011
01070,ma,015
01071,ma,013
01072,ma,011
01073,ma,013
01073,ma,015
01074,ma,027
01075,ma,015
01077,ma,013
01079,ma,013
01080,ma,013
01081,ma,013
01082,ma,027
01082,ma,015
01082,ma,013
01083,ma,027
01084,ma,015
01085,ma,013
01088,ma,015
01089,ma,013
01090,ma,013
01092,ma,027
01093,ma,011
01094,ma,027
01095,ma,013
01096,ma,015
01096,ma,011
01097,ma,013
01098,ma,015
01101,ma,013
01103,ma,013
01104,ma,013
01105,ma,013
01106,ma,013
01107,ma,013
01108,ma,013
01109,ma,013
01111,ma,013
01115,ma,013
01116,ma,013
01118,ma,013
01119,ma,013
01128,ma,013
01129,ma,013
01138,ma,013
01139,ma,013
01144,ma,013
01151,ma,013
01152,ma,013
01199,ma,013
01201,ma,003
01202,ma,003
01220,ma,003
01222,ma,003
01223,ma,013
01223,ma,003
01224,ma,003
01225,ma,003
01226,ma,003
01227,ma,003
01229,ma,003
01230,ma,003
01235,ma,015
01235,ma,003
01236,ma,003
01237,ma,003
01238,ma,003
01240,ma,003
01242,ma,003
01243,ma,015
01244,ma,003
01245,ma,003
01247,ma,011
01247,ma,003
01252,ma,003
01253,ma,003
01254,ma,003
01255,ma,003
01256,ma,003
01257,ma,003
01258,ma,003
01259,ma,003
01260,ma,003
01262,ma,003
01263,ma,003
01264,ma,003
01266,ma,003
01267,ma,003
01270,ma,003
01301,ma,011
01302,ma,011
01330,ma,011
01330,ma,015
01331,ma,011
01331,ma,027
01337,ma,011
01338,ma,011
01339,ma,015
01339,ma,011
01340,ma,011
01341,ma,011
01342,ma,011
01343,ma,003
01343,ma,011
01344,ma,011
01346,ma,011
01347,ma,011
01349,ma,011
01350,ma,011
01351,ma,011
01354,ma,011
01355,ma,011
01360,ma,011
01364,ma,011
01364,ma,027
01366,ma,027
01367,ma,003
01367,ma,011
01368,ma,027
01370,ma,011
01373,ma,011
01375,ma,011
01376,ma,011
01378,ma,011
01379,ma,011
01380,ma,011
01420,ma,027
01430,ma,027
01431,ma,027
01431,ma,017
01432,ma,017
01434,ma,017
01434,ma,027
01436,ma,027
01438,ma,027
01440,ma,027
01441,ma,027
01450,ma,017
01451,ma,017
01451,ma,027
01452,ma,027
01453,ma,027
01460,ma,027
01460,ma,017
01462,ma,017
01462,ma,027
01463,ma,017
01464,ma,017
01467,ma,027
01468,ma,027
01469,ma,017
01472,ma,017
01473,ma,027
01474,ma,017
01475,ma,027
01501,ma,027
01503,ma,017
01503,ma,027
01504,ma,021
01504,ma,027
01505,ma,027
01506,ma,027
01507,ma,027
01508,ma,027
01509,ma,027
01510,ma,027
01515,ma,027
01516,ma,027
01518,ma,027
01519,ma,027
01520,ma,027
01521,ma,013
01522,ma,027
01523,ma,027
01524,ma,027
01525,ma,027
01526,ma,027
01527,ma,027
01529,ma,027
01531,ma,027
01532,ma,027
01532,ma,017
01534,ma,027
01535,ma,027
01536,ma,027
01537,ma,027
01538,ma,027
01540,ma,027
01541,ma,027
01542,ma,027
01543,ma,027
01545,ma,027
01546,ma,027
01550,ma,027
01560,ma,027
01561,ma,027
01562,ma,027
01564,ma,027
01566,ma,027
01568,ma,027
01569,ma,027
01570,ma,027
01571,ma,027
01581,ma,027
01583,ma,027
01585,ma,027
01586,ma,027
01588,ma,027
01590,ma,027
01601,ma,027
01602,ma,027
01603,ma,027
01604,ma,027
01605,ma,027
01606,ma,027
01607,ma,027
01608,ma,027
01609,ma,027
01610,ma,027
01611,ma,027
01612,ma,027
01613,ma,027
01614,ma,027
01653,ma,027
01655,ma,027
01701,ma,017
01702,ma,017
01703,ma,017
01704,ma,017
01718,ma,017
01719,ma,017
01720,ma,017
01721,ma,017
01730,ma,017
01731,ma,017
01740,ma,027
01741,ma,017
01742,ma,017
01745,ma,027
01746,ma,017
01746,ma,021
01747,ma,027
01748,ma,027
01748,ma,017
01749,ma,017
01749,ma,027
01752,ma,017
01752,ma,027
01754,ma,017
01756,ma,027
01756,ma,021
01757,ma,027
01760,ma,017
01760,ma,021
01770,ma,017
01772,ma,027
01773,ma,017
01775,ma,017
01776,ma,017
01778,ma,017
01784,ma,017
01801,ma,017
01803,ma,017
01805,ma,017
01810,ma,017
01810,ma,009
01812,ma,009
01821,ma,017
01822,ma,017
01824,ma,017
01826,ma,017
01826,ma,009
01827,ma,017
01830,ma,009
01831,ma,009
01832,ma,009
01833,ma,009
01834,ma,009
01835,ma,009
01840,ma,009
01841,ma,009
01842,ma,009
01843,ma,009
01844,ma,009
01845,ma,009
01850,ma,017
01851,ma,017
01852,ma,017
01853,ma,017
01854,ma,017
01860,ma,009
01862,ma,017
01863,ma,017
01864,ma,017
01865,ma,017
01866,ma,017
01867,ma,017
01876,ma,017
01876,ma,009
01879,ma,017
01880,ma,017
01880,ma,009
01885,ma,009
01886,ma,017
01887,ma,017
01888,ma,017
01889,ma,017
01890,ma,017
01899,ma,009
01901,ma,009
01902,ma,009
01903,ma,009
01904,ma,009
01905,ma,009
01906,ma,025
01906,ma,009
01906,ma,017
01907,ma,009
01908,ma,009
01910,ma,009
01913,ma,009
01915,ma,009
01921,ma,009
01922,ma,009
01923,ma,009
01929,ma,009
01930,ma,009
01931,ma,009
01936,ma,009
01937,ma,009
01938,ma,009
01940,ma,009
01944,ma,009
01945,ma,009
01949,ma,009
01950,ma,009
01951,ma,009
01952,ma,009
01960,ma,009
01961,ma,009
01965,ma,009
01966,ma,009
01969,ma,009
01970,ma,009
01971,ma,009
01982,ma,009
01983,ma,009
01984,ma,009
01985,ma,009
02018,ma,023
02019,ma,021
02020,ma,023
02021,ma,021
02025,ma,023
02025,ma,021
02026,ma,021
02026,ma,025
02027,ma,021
02030,ma,021
02030,ma,017
02032,ma,021
02035,ma,021
02038,ma,021
02041,ma,023
02043,ma,021
02043,ma,023
02044,ma,023
02045,ma,023
02047,ma,023
02048,ma,005
02048,ma,021
02050,ma,023
02051,ma,023
02052,ma,021
02053,ma,021
02054,ma,021
02056,ma,021
02059,ma,023
02060,ma,023
02061,ma,023
02062,ma,021
02065,ma,023
02066,ma,023
02066,ma,021
02067,ma,021
02070,ma,021
02071,ma,021
02072,ma,021
02081,ma,021
02090,ma,021
02093,ma,021
02108,ma,025
02109,ma,025
02110,ma,025
02111,ma,025
02112,ma,025
02113,ma,025
02114,ma,025
02115,ma,025
02116,ma,025
02117,ma,025
02118,ma,025
02119,ma,025
02120,ma,025
02121,ma,025
02122,ma,025
02123,ma,025
02124,ma,021
02124,ma,025
02125,ma,025
02126,ma,025
02127,ma,025
02128,ma,025
02129,ma,025
02130,ma,021
02130,ma,025
02131,ma,025
02132,ma,025
02133,ma,025
02134,ma,025
02135,ma,021
02135,ma,025
02136,ma,021
02136,ma,025
02137,ma,025
02138,ma,017
02139,ma,017
02140,ma,017
02141,ma,025
02141,ma,017
02142,ma,017
02143,ma,017
02144,ma,017
02145,ma,017
02148,ma,009
02148,ma,025
02148,ma,017
02149,ma,025
02149,ma,017
02150,ma,025
02150,ma,017
02151,ma,017
02151,ma,025
02152,ma,025
02155,ma,017
02163,ma,025
02169,ma,021
02170,ma,021
02171,ma,021
02176,ma,017
02176,ma,009
02180,ma,017
02184,ma,021
02185,ma,021
02186,ma,025
02186,ma,021
02188,ma,021
02189,ma,023
02189,ma,021
02190,ma,021
02191,ma,021
02196,ma,025
02199,ma,025
02201,ma,025
02203,ma,025
02205,ma,025
02210,ma,025
02215,ma,025
02215,ma,021
02217,ma,025
02222,ma,025
02238,ma,017
02269,ma,021
02301,ma,023
02302,ma,021
02302,ma,023
02303,ma,023
02304,ma,023
02305,ma,023
02322,ma,021
02324,ma,023
02325,ma,023
02327,ma,023
02330,ma,023
02331,ma,023
02332,ma,023
02333,ma,023
02334,ma,005
02337,ma,023
02338,ma,023
02339,ma,023
02341,ma,023
02343,ma,021
02344,ma,023
02345,ma,023
02346,ma,023
02347,ma,023
02347,ma,005
02348,ma,023
02349,ma,023
02350,ma,023
02351,ma,023
02355,ma,023
02356,ma,021
02356,ma,005
02357,ma,005
02358,ma,023
02359,ma,023
02360,ma,023
02360,ma,001
02361,ma,023
02362,ma,023
02364,ma,023
02366,ma,023
02367,ma,023
02368,ma,021
02370,ma,023
02375,ma,005
02375,ma,023
02379,ma,023
02381,ma,023
02382,ma,023
02420,ma,017
02421,ma,017
02445,ma,025
02445,ma,021
02446,ma,021
02446,ma,025
02447,ma,021
02451,ma,017
02452,ma,017
02453,ma,017
02454,ma,017
02455,ma,017
02458,ma,025
02458,ma,017
02459,ma,017
02460,ma,017
02461,ma,017
02462,ma,017
02464,ma,017
02465,ma,017
02466,ma,017
02467,ma,017
02467,ma,025
02467,ma,021
02468,ma,017
02471,ma,017
02472,ma,017
02474,ma,017
02476,ma,017
02477,ma,017
02478,ma,017
02481,ma,021
02482,ma,017
02482,ma,021
02492,ma,021
02493,ma,017
02494,ma,021
02532,ma,023
02532,ma,001
02534,ma,001
02535,ma,007
02536,ma,001
02537,ma,001
02538,ma,023
02539,ma,007
02540,ma,001
02541,ma,001
02542,ma,001
02543,ma,001
02552,ma,007
02553,ma,001
02554,ma,019
02556,ma,001
02557,ma,007
02558,ma,023
02559,ma,001
02561,ma,001
02562,ma,001
02563,ma,001
02564,ma,019
02568,ma,005
02568,ma,007
02571,ma,023
02574,ma,001
02575,ma,007
02576,ma,023
02584,ma,019
02601,ma,001
02630,ma,001
02631,ma,001
02632,ma,001
02633,ma,001
02634,ma,001
02635,ma,001
02637,ma,001
02638,ma,001
02639,ma,001
